"tract","Name","Household_Income_rP_gP_p75"
36047039600,"Kings County, NY",62756
36047025600,"Kings County, NY",62747
36047056000,"Kings County, NY",62741
36047064600,"Kings County, NY",62722
36047043800,"Kings County, NY",62717
36005033500,"Bronx County, NY",62709
36103111602,"East Northport, NY",62627
36081012100,"Queens County, NY",62627
36103134907,"Kings Park, NY",62599
34003013002,"Edgewater, NJ",62576
36103111503,"Greenlawn, NY",62551
36081062900,"Queens County, NY",62533
34003019306,"Fort Lee, NJ",62463
36059520300,"Bethpage, NY",62461
36081008800,"Queens County, NY",62416
36081014202,"Queens County, NY",62400
36103112002,"Huntington Station, NY",62391
36061016300,"Upper West Side, New York, NY",62371
36081053500,"Queens County, NY",62316
34003019102,"Fort Lee, NJ",62315
36103134906,"Kings Park, NY",62296
36081066300,"Queens County, NY",62294
36081118700,"Queens County, NY",62273
36047035200,"Kings County, NY",62254
36081012400,"Queens County, NY",62247
36047025200,"Kings County, NY",62245
36047027400,"Kings County, NY",62239
36081065900,"Queens County, NY",62237
36059301000,"Sands Point, NY",62233
36119010200,"Hastings-on-Hudson, NY",62207
36081116100,"Queens County, NY",62175
36119002404,"Southeast Yonkers, Yonkers, NY",62159
34003028002,"Leonia, NJ",62158
36081077903,"Queens County, NY",62139
36005044901,"Bronx County, NY",62110
36081147900,"Queens County, NY",62106
36081021200,"Queens County, NY",62105
34003003500,"Bergenfield, NJ",62097
36081046100,"Queens County, NY",62082
36061027500,"Upper Manhattan, New York, NY",62068
36081069300,"Queens County, NY",62036
36059412800,"South Hempstead, NY",62017
36119007402,"Mamaroneck, NY",61961
36061013600,"Upper East Side, New York, NY",61956
36005021900,"Bronx County, NY",61941
36047037402,"Kings County, NY",61915
36081119100,"Queens County, NY",61902
36081070300,"Queens County, NY",61879
36119002202,"Cedar Knolls, Yonkers, NY",61875
36119004700,"Bronxville, NY",61873
36047041401,"Kings County, NY",61846
36081086900,"Queens County, NY",61818
36059521700,"Massapequa Park, NY",61794
36081018102,"Queens County, NY",61781
36047054600,"Kings County, NY",61769
34003019203,"Fort Lee, NJ",61746
36081047300,"Queens County, NY",61701
36081030903,"Queens County, NY",61696
34003003200,"Bergenfield, NJ",61694
36059518000,"Oyster Bay, NY",61692
36119009900,"Scarsdale, NY",61674
36081025301,"Queens County, NY",61671
36081006300,"Queens County, NY",61659
36047058800,"Kings County, NY",61654
36119010100,"Scarsdale, NY",61638
36119004400,"North Side, Mount Vernon, NY",61635
36081071306,"Queens County, NY",61618
36061014401,"Upper East Side, New York, NY",61602
36081024900,"Queens County, NY",61599
36103135208,"Commack, NY",61589
36103112001,"Huntington Station, NY",61582
36103124401,"West Babylon, NY",61570
36081126700,"Queens County, NY",61567
36081066701,"Queens County, NY",61531
36081028500,"Queens County, NY",61526
36081059300,"Queens County, NY",61507
36081129104,"Queens County, NY",61504
36119004500,"North Side, Mount Vernon, NY",61495
36119004800,"Tuckahoe, NY",61449
36081071303,"Queens County, NY",61438
36103110300,"Halesite, NY",61429
36103123101,"North Babylon, NY",61424
36059301400,"Port Washington, NY",61416
36061001402,"Lower Manhattan, New York, NY",61410
36081093800,"Queens County, NY",61400
36081009800,"Queens County, NY",61382
36047055200,"Kings County, NY",61338
36059411901,"Lynbrook, NY",61330
36081115900,"Queens County, NY",61328
36119007401,"Mamaroneck, NY",61320
36005024400,"Bronx County, NY",61317
36081006202,"Queens County, NY",61265
36081071100,"Queens County, NY",61258
36103135004,"Saint James, NY",61253
36081086400,"Queens County, NY",61252
36047004500,"Kings County, NY",61240
36059416402,"Long Beach, NY",61232
36081051700,"Queens County, NY",61196
36103122603,"North Babylon, NY",61193
36061004300,"Lower Manhattan, New York, NY",61116
36061014402,"Yorkville, New York, NY",61095
36103135101,"Commack, NY",61084
36103124001,"Lindenhurst, NY",61070
36047040400,"Kings County, NY",60987
36047062800,"Kings County, NY",60984
36005029500,"Bronx County, NY",60933
36047069601,"Kings County, NY",60921
36081029700,"Queens County, NY",60916
36081062300,"Queens County, NY",60913
36081041300,"Queens County, NY",60910
36061014000,"Upper East Side, New York, NY",60897
36103123401,"Lindenhurst, NY",60887
36047002100,"Kings County, NY",60884
36103122707,"Deer Park, NY",60878
36103124101,"Lindenhurst, NY",60878
36047067000,"Kings County, NY",60814
36059411500,"Hewlett, NY",60800
36119006600,"New Rochelle, NY",60754
36081016900,"Queens County, NY",60744
36059518900,"Hicksville, Hicksville, NY",60736
36005025200,"Bronx County, NY",60735
36103146205,"Islip, NY",60643
36119002204,"Lawrence Park, Yonkers, NY",60623
36119002107,"Colonial Heights, Yonkers, NY",60612
34003019202,"Fort Lee, NJ",60584
36059412400,"Rockville Centre, NY",60536
36061012200,"Lenox Hill, New York, NY",60522
36047061002,"Kings County, NY",60521
36081055400,"Queens County, NY",60509
36081073900,"Queens County, NY",60497
36119000803,"Northwest Yonkers, Yonkers, NY",60476
36081072900,"Queens County, NY",60455
36059416202,"Island Park, NY",60452
36047059600,"Kings County, NY",60442
34003019103,"Fort Lee, NJ",60434
36103145701,"Hauppauge, NY",60363
36047045300,"Kings County, NY",60348
